review,token
untuk sarapan paginya sangat enak banyak menunya dan layanan atas nama fifin sangat bagus semuanya memuaskan,"['sarap', 'pagi', 'sangat', 'enak', 'banyak', 'menu', 'layan', 'atas', 'nama', 'fifin', 'sangat', 'bagus', 'semua', 'muas']"
"Makanannya enak, tempatnya nyaman, lokasi dekat dg perkotaan dan depan jalan raya. Bagus untuk staycation berhari-hari
Sesuai harapan dan recomend buat nginep","['makan', 'enak', 'tempat', 'nyaman', 'lokasi', 'dekat', 'dengan', 'kota', 'depan', 'jalan', 'raya', 'bagus', 'staycation', 'hari', 'hari', 'sesuai', 'harap', 'recomend', 'buat', 'nginep']"
"Makanannya enak"", paling favorit nasi goreng buat anak, dan overalla good","['makan', 'enak', 'paling', 'favorit', 'nasi', 'goreng', 'buat', 'anak', 'overalla', 'good']"
"Sebelumnya pernah menginap di mercure surabaya & pontianak, dibanding kedua hotel tsb. menurut saya utk sisi rasa pada menu breakfast mercure yogya kurang nendang, alhasil 3 kali breakfast mengambil menu yg sama, yaitu gudeg 😁, lebih karena …","['belum', 'pernah', 'inap', 'mercure', 'surabaya', 'pontianak', 'banding', 'dua', 'hotel', 'tsb', 'saya', 'untuk', 'sisi', 'rasa', 'menu', 'breakfast', 'mercure', 'yogya', 'kurang', 'nendang', 'alhasil', 'kali', 'breakfast', 'ambil', 'menu', 'yang', 'sama', 'gudeg', 'lebih']"
"Suka banget. Hospitality nya top!! Untuk makanan minuman enak dan nyaman…. Kalau boleh banyakkin menu2 asal jogja lagi yaa heheh. Gudeg, lupis, getuk, pecel ❤️❤️❤️","['suka', 'banget', 'hospitality', 'top', 'makan', 'minum', 'enak', 'nyaman', 'kalau', 'banyakkin', 'menu', 'asal', 'jogja', 'ya', 'heheh', 'gudeg', 'lup', 'getuk', 'pecel']"
Sarapan menu sangat bnyk n enak. Pelayanannya sangat ramah. @devita,"['sarap', 'menu', 'sangat', 'bnyk', 'n', 'enak', 'layan', 'sangat', 'ramah', 'devita']"
"Saya setiap merayakan tahun baru selalu nginap hotel di Yogyakarta atau di Semarang, Baru mengalami di hotel ini untuk gala dinner harus reservasi bayar 500.000/ pack / orang, biasanya free 2 orang per kamar, sisanya baru bayar. Untuk hotel …","['tiap', 'raya', 'tahun', 'baru', 'selalu', 'nginap', 'hotel', 'yogyakarta', 'semarang', 'baru', 'alami', 'di', 'hotel', 'gala', 'dinner', 'reservasi', 'bayar', 'pack', 'orang', 'biasa', 'free', 'orang', 'per', 'kamar', 'sisa', 'baru', 'bayar', 'untuk', 'hotel']"
"Proses booking responnya sangat lambat, akhirnya krn kamar yg dipesan keburu habis, diupgrade
Pelayanan lain memuaskan …","['proses', 'booking', 'responnya', 'sangat', 'lambat', 'akhir', 'krn', 'kamar', 'yang', 'pes', 'keburu', 'habis', 'diupgrade', 'layan', 'muas']"
"Secara keseluruhan utk makanan enaak.. kecuali krecek terlalu oily, encer.. hotel bagus t4 strategis","['seluruh', 'untuk', 'makan', 'enaak', 'krecek', 'terlalu', 'oily', 'encer', 'hotel', 'bagus', 't', 'strategis']"
"Hotelnya nyaman sekali, pelayanannya sangat memuaskan, stafnya ramah, kamar bersih dan rapi. Lokasinya cukup strategis dipinggir jalan mudah untuk mengakses kemanapun. Tingkat keamanan hotel pun sangat baik dan memuaskan karna tidak sembarang orang bisa masuk kamar.","['hotel', 'nyaman', 'sekali', 'layan', 'sangat', 'muas', 'staf', 'ramah', 'kamar', 'bersih', 'rapi', 'lokasi', 'cukup', 'strategis', 'pinggir', 'jalan', 'mudah', 'akses', 'mana', 'tingkat', 'aman', 'hotel', 'sangat', 'baik', 'muas', 'karna', 'sembarang', 'orang', 'masuk', 'kamar']"
"Toilet di ruang rapat Lt 6 nggk bisa dikunci, mushola sempit, aroma kurang sedap, yaaa b aja si, tp imo nggk worth it dengan rate segitu","['toilet', 'ruang', 'rapat', 'lt', 'nggk', 'kunci', 'mushola', 'sempit', 'aroma', 'kurang', 'sedap', 'ya', 'b', 'saja', 'tapi', 'imo', 'nggk', 'worth', 'it', 'rate', 'segitu']"
"Untuk breakfast lengkap bgt,.makanannya enak pool, pelayannann bernama  Lena ramah dan baik","['breakfast', 'lengkap', 'sangat', 'makan', 'enak', 'pool', 'pelayannann', 'nama', 'lena', 'ramah', 'baik']"
"Pelayanan ramah, variasi sarapan oke, lokasi strategis","['layan', 'ramah', 'variasi', 'sarap', 'oke', 'lokasi', 'strategis']"
"Untuk sarapannya lengkap semuanya ada, enak, saladnya fresh fres

Lena","['sarap', 'lengkap', 'semua', 'enak', 'saladnya', 'fresh', 'fres', 'lena']"
"Kren ,...top markotop,menu & pelayanan nya..suupeer..","['kren', 'top', 'markotop', 'menu', 'layan', 'suupeer']"
Breakfast nya alhamdulillah enak,"['breakfast', 'alhamdulillah', 'enak']"
"Untuk kamar nya cukup nyaman, pelayanan juga oke banget","['kamar', 'cukup', 'nyaman', 'layan', 'oke', 'banget']"
"Sy membooking smpe 3hr, dikamar pertama sy komplain krn kamar ad suara berdengung kencang jd kami tdk bs istrht tenang, akhirnya diupgrade kmr yg lbh besar, krn kami dtg di moment lebaran jd kamar sisa ini.awal sy masuk kamar konsepnya agak …","['saya', 'membooking', 'smpe', 'hr', 'kamar', 'pertama', 'saya', 'komplain', 'krn', 'kamar', 'ad', 'suara', 'dengung', 'kencang', 'jd', 'tdk', 'bs', 'istrht', 'tenang', 'akhir', 'diupgrade', 'kmr', 'yang', 'lbh', 'besar', 'krn', 'dtg', 'moment', 'lebaran', 'jd', 'kamar', 'sisa', 'awal', 'saya', 'masuk', 'kamar', 'konsep']"
"Sarapan dan pelayanannya mantap, kamar nya bersih.. Mba nya juga ramah @Silvia  🥰 …","['sarap', 'layan', 'mantap', 'kamar', 'bersih', 'mba', 'ramah', 'silvia']"
"Ruang rapatnya besar, kamarnya nyaman, lokasinya strategis dekat tempat kuliner di seberang jalan Demangan. Untuk makanan dan minumannya variasinya menunya boleh ditambah lagi. Terima kasih ✨✨","['ruang', 'rapat', 'besar', 'kamar', 'nyaman', 'lokasi', 'strategis', 'dekat', 'tempat', 'kuliner', 'seberang', 'jalan', 'demang', 'makan', 'minum', 'variasi', 'menu', 'tambah', 'terima', 'kasih']"
Semoga safe deposit boxnya bisa lebih bagus ya.,"['moga', 'safe', 'deposit', 'boxnya', 'lebih', 'bagus']"
Sarapan paginya lengkap dan sangat enak layanan atas nama fifin baik dan ramah,"['sarap', 'pagi', 'lengkap', 'sangat', 'enak', 'layan', 'atas', 'nama', 'fifin', 'baik', 'ramah']"
Lokasi strategis dekat mall dan rumah sakit. Kamarnya oke. Ruang meeting-nya banyak dan proper.. snack rapatnya variatif dan enak-enak.. …,"['lokasi', 'strategis', 'dekat', 'mall', 'rumah', 'sakit', 'kamar', 'oke', 'ruang', 'meeting', 'banyak', 'proper', 'snack', 'rapat', 'variatif', 'enak', 'enak']"
Sarapan sambil bisa menikmati jalan kenangan semasa kuliah,"['sarap', 'bisa', 'nikmat', 'jalan', 'kenang', 'masa', 'kuliah']"
Untuk makanannya lumayan banyak tetapi untuk kamar tidak sesuai dengan permintaan tanpa konfirmasi terlebih dahulu dan untuk pelayanan pada saat cek in pelayanannya kurang,"['makan', 'lumayan', 'banyak', 'kamar', 'sesuai', 'minta', 'konfirmasi', 'lebih', 'dan', 'untuk', 'layan', 'saat', 'cek', 'in', 'layan', 'kurang']"
"Overall experiencenya memuaskan, breakfast variatif dan kamar spacey dan bersih. khusus balkon kalau mau buka pintunya by request ke resepsionis ya.","['overall', 'experiencenya', 'muas', 'breakfast', 'variatif', 'kamar', 'spacey', 'bersih', 'khusus', 'balkon', 'kalau', 'mau', 'buka', 'pintu', 'by', 'request', 'resepsionis']"
"Hotel dengan lokasi strategis dekat bandara Adisucipto dan Mall. Makanan enak dan beragam. Fasilitas hotel cukup lengkap, ada kolam renang di lantai atas dan gym. Interior ornamen khas Yogya. Ruang meeting luas, tp blower AC berisik. …","['hotel', 'lokasi', 'strategis', 'dekat', 'bandara', 'adisucipto', 'mall', 'makan', 'enak', 'agam', 'fasilitas', 'hotel', 'cukup', 'lengkap', 'kolam', 'renang', 'lantai', 'atas', 'gym', 'interior', 'ornamen', 'khas', 'yogya', 'ruang', 'meeting', 'luas', 'tapi', 'blower', 'ac', 'berisik']"
"Menu masakannya enak, pelayanan bagus, sempat minta dilayani mbak fifin, cepat dan tidak berteletele","['menu', 'masakan', 'enak', 'layan', 'bagus', 'sempat', 'minta', 'layan', 'mbak', 'fifin', 'cepat', 'tidak', 'berteletele']"
"Pelayanan yang memuaskan, kebersihan dan kerapihan semua kamar dan ruangan selalu terjaga, serta breakfast yang cukup menarik.","['layan', 'muas', 'bersih', 'kerapihan', 'semua', 'kamar', 'ruang', 'selalu', 'jaga', 'breakfast', 'cukup', 'tarik']"
"Menginap 4 D 3 N sangat nyaman Alhamdulillah.
Lokasi sangat strategis dan pelayanan cukup ramah.
Di sekeliling hotel banyak tempat makan enak. Seberang hotel ada bakmi batas kota yang ternyata enak, makin malam makin rame pengunjungnya.","['inap', 'd', 'n', 'sangat', 'nyaman', 'alhamdulillah', 'lokasi', 'sangat', 'strategis', 'layan', 'cukup', 'ramah', 'keliling', 'hotel', 'banyak', 'tempat', 'makan', 'enak', 'seberang', 'hotel', 'bakmi', 'batas', 'kota', 'nyata', 'enak', 'makin', 'malam', 'makin', 'rame', 'unjung']"
Sarapan pagi nya sangat enak enak dan pelayanan atas nama fifin sangat cepat dan ramah,"['sarap', 'pagi', 'sangat', 'enak', 'enak', 'layan', 'atas', 'nama', 'fifin', 'sangat', 'cepat', 'ramah']"
"Fasilitas kamar hotel lengkap, tidak ada kendala, parkir memadai, makanan lengkap banyak pilihan mulai dari dissert, menu modern dan tradisional, minuman juga lengkap. Best service!","['fasilitas', 'kamar', 'hotel', 'lengkap', 'ada', 'kendala', 'parkir', 'pada', 'makan', 'lengkap', 'banyak', 'pilih', 'mulai', 'dissert', 'menu', 'modern', 'tradisional', 'minum', 'lengkap', 'best', 'service']"
"Hospitality ny bagus, kamar bersih, untuk breakfast paling enak curry beef ny mantab...","['hospitality', 'ny', 'bagus', 'kamar', 'bersih', 'breakfast', 'paling', 'enak', 'curry', 'beef', 'ny', 'mantab']"
Sarapan nya mantap and Mak yus,"['sarap', 'mantap', 'and', 'mak', 'yus']"
"Iftar disini seru abiss
Tempat nyaman, makanan enak, pelayanan restaurant sangat baik. Recomendeddddd !!!","['iftar', 'sini', 'seru', 'abiss', 'tempat', 'nyaman', 'makan', 'enak', 'layan', 'restaurant', 'sangat', 'baik', 'recomendeddddd']"
"Hotel dan kamarnya bagus,nyaman dan bersih. Sarapannya juga oke bgt dan juga lengkap. Mulai dari makanan indonesia, western dan juga banyak sekali tersedia aneka pastry.","['hotel', 'kamar', 'bagus', 'nyaman', 'bersih', 'sarap', 'oke', 'sangat', 'juga', 'lengkap', 'mulai', 'makan', 'indonesia', 'western', 'juga', 'banyak', 'sekali', 'sedia', 'aneka', 'pastry']"
Sarapannya enak namun telurnya sebaiknya dibuat Dan disimpan di stock agar orang tidak menunggu pembuatan telur yg lama. Tksh,"['sarap', 'enak', 'telur', 'baik', 'buat', 'simpan', 'stock', 'orang', 'tunggu', 'buat', 'telur', 'yang', 'lama', 'tksh']"
"Hotel nya bagus, lokasi strategis, petugas nya ramah, tapi klau malem dr resto suka ada bunyi kursi di pindahkan cuman front lobby nya bisa di ajak komunikasi untuk mengatasi masalah tersebut. Semoga makanan nya bisa lebih enak lagi","['hotel', 'bagus', 'lokasi', 'strategis', 'tugas', 'ramah', 'klau', 'malem', 'dr', 'resto', 'suka', 'bunyi', 'kursi', 'pindah', 'cuman', 'front', 'lobby', 'di', 'ajak', 'komunikasi', 'atas', 'masalah', 'sebut', 'moga', 'makan', 'lebih', 'enak']"
"Sarapannya enak, dan variatif. Pelayanan dari mbak lena sangat baik","['sarap', 'enak', 'variatif', 'layan', 'mbak', 'lena', 'sangat', 'baik']"
"Lokasi strategis, ruangan nyaman, makan enak dan higienis. Dekat stasiun jadi untuk saya yang orang Solo sangat nyaman menikmati menginap di Grand Mercure Yogyakarta","['lokasi', 'strategis', 'ruang', 'nyaman', 'makan', 'enak', 'higienis', 'dekat', 'stasiun', 'jadi', 'saya', 'orang', 'solo', 'sangat', 'nyaman', 'nikmat', 'inap', 'grand', 'mercure', 'yogyakarta']"
"Pertama kali kesini nemenin anak2 yg lagi diajak sama budhenya staycation semalam
Baru masuk pelayanannya ramah2 semua …","['pertama', 'kali', 'kesini', 'nemenin', 'anak', 'yang', 'ajak', 'sama', 'budhenya', 'staycation', 'malam', 'baru', 'masuk', 'layan', 'ramah', 'semua']"
Hotelnya sangat bagus walaupun kamarnya agama kecil tetapi makanannya breakfastnya enak,"['hotel', 'sangat', 'bagus', 'walaupun', 'kamar', 'agama', 'kecil', 'makan', 'breakfastnya', 'enak']"
"Pelayanan ramah semedulur, lokasi mudah dicari. Masakan enak dan beragam. Sayang kamar yang saya pesan tidak punya view.","['layan', 'ramah', 'semedulur', 'lokasi', 'mudah', 'cari', 'masakan', 'enak', 'agam', 'sayang', 'kamar', 'saya', 'pesan', 'punya', 'view']"
"Tempat nya bagus dan enak, dan kamar hotelnya sangat dingin. Pelayanan nya juga mantap","['tempat', 'bagus', 'enak', 'kamar', 'hotel', 'sangat', 'dingin', 'layan', 'mantap']"
"Saya menginap di hotel grand mercure sangat nyaman, menu memuaskan, pelayanan prima","['inap', 'hotel', 'grand', 'mercure', 'sangat', 'nyaman', 'menu', 'muas', 'layan', 'prima']"
"Pengalaman menginap disana seru, lokasinya strategis dkt sama mall, serta fasilitas umum lainnya.","['alam', 'inap', 'sana', 'seru', 'lokasi', 'strategis', 'dkt', 'sama', 'mall', 'fasilitas', 'umum', 'lain']"
"Nasi goreng hijau mantap..
Terimakasih atas pelayanan yg ramah dari mba Aztuti..sukses sll","['nasi', 'goreng', 'hijau', 'mantap', 'terimakasih', 'atas', 'layan', 'yang', 'ramah', 'mba', 'aztuti', 'sukses', 'sll']"
"Hotel nyaman, kolam renang luas, makanan di restoran bervariasi & rasanya enak, hanya saja air shower keluarnya kecil.
Tp so far smua nyaman
Tx u mercure jogja sukses selalu","['hotel', 'nyaman', 'kolam', 'renang', 'luas', 'makan', 'restoran', 'variasi', 'rasa', 'enak', 'saja', 'air', 'shower', 'keluar', 'kecil', 'tapi', 'so', 'far', 'smua', 'nyaman', 'tx', 'u', 'mercure', 'jogja', 'sukses', 'selalu']"
Salah satu hotel bintang lima di pusat kota jogyakarta. Memilih hotel ini untuk acara family gathering di tahun 2025 saat lebaran ini. Saat kedatangan dibuat kecewa dengan pelayanannya karena kamar belum ready semuanya. Alasannya di saat …,"['salah', 'satu', 'hotel', 'bintang', 'lima', 'pusat', 'kota', 'jogyakarta', 'pilih', 'hotel', 'untuk', 'acara', 'family', 'gathering', 'tahun', 'lebaran', 'saat', 'datang', 'buat', 'kecewa', 'layan', 'kamar', 'ready', 'semua', 'alas', 'saat']"
"overall menu yg disajikan cukup baik, banyak beraneka ragam menu nusantara dan luar
lebih diperhatikan tentang air wedang ronde nya yg kurang panas dan penyajian mie nya yg sudah dimasak terlebih dahulu, jadi ketika disajikan sudah dingin","['overall', 'menu', 'yang', 'saji', 'cukup', 'baik', 'banyak', 'aneka', 'ragam', 'menu', 'nusantara', 'luar', 'lebih', 'perhati', 'air', 'wedang', 'ronde', 'yang', 'kurang', 'panas', 'saji', 'mie', 'yang', 'masak', 'lebih', 'jadi', 'saji', 'dingin']"
"Allhamdulilah nyaman, dlm rangka kedinasan","['allhamdulilah', 'nyaman', 'dlm', 'rangka', 'dinas']"
"breakfast ok pelayanan , staff ramah","['breakfast', 'layan', 'staff', 'ramah']"
"sarapannya rasanyaa jossss, pelayanan sat set sama mb lena","['sarap', 'rasanyaa', 'jossss', 'layan', 'sat', 'set', 'sama', 'mb', 'lena']"
"Untuk makanannya oke cukup beragam cuma bisa dikurangi manis nya atau asinnya

Untuk kamarnya cukup kaget karena beda dari beberapa tahun terakhir saya kesini. …","['makan', 'oke', 'cukup', 'agam', 'cuma', 'rang', 'manis', 'asin', 'kamar', 'cukup', 'kaget', 'beda', 'beberapa', 'tahun', 'akhir', 'kesini']"
"Lokasi strategis, varian masakan OK, ambience resto keren, view bagus...wajib kesini lagi","['lokasi', 'strategis', 'varian', 'masakan', 'ambience', 'resto', 'keren', 'view', 'bagus', 'wajib', 'kesini']"
Sarapan paginya sangat enak menunya lengkap dan memuaskan layanan atas nama fifin baik dan ramah serta cepat,"['sarap', 'pagi', 'sangat', 'enak', 'menu', 'lengkap', 'muas', 'layan', 'atas', 'nama', 'fifin', 'baik', 'ramah', 'cepat']"
Pelayanan dan makanan enak. Terima kasih mba silvia,"['layan', 'makan', 'enak', 'terima', 'kasih', 'mba', 'silvia']"
Menanggapi kehilangan yang sebelumnya.. pihak management sudah melakukan tindak lanjut dan tindakan tegas pada siapapun yang terbukti. terima kasih semoga tidak terjadi lagi dan keamanan semakin ditingkatkan. Makasih,"['tanggap', 'hilang', 'belum', 'pihak', 'management', 'laku', 'tindak', 'lanjut', 'tindak', 'tegas', 'siapa', 'bukti', 'terima', 'kasih', 'moga', 'jadi', 'dan', 'aman', 'makin', 'tingkat', 'makasih']"
pelayanan serta fasilitas yang ada sangat memuaskan,"['layan', 'fasilitas', 'ada', 'sangat', 'muas']"
Makanan yang disajikan selalu baru dan banyak macamnya. Pelayanan cepat dan tempatnya bersih.,"['makan', 'saji', 'selalu', 'baru', 'banyak', 'macam', 'layan', 'cepat', 'tempat', 'bersih']"
"Terima kasih dengan pelayanan Grand Mercure, menginap dan mengadakan event training di sini dapat banyak support dan menunya enak, walaupun ada beberapa kendala teknis, namun ada tim hotel yg sigap membantu …","['terima', 'kasih', 'layan', 'grand', 'mercure', 'inap', 'ada', 'event', 'training', 'sini', 'banyak', 'support', 'menu', 'enak', 'walaupun', 'beberapa', 'kendala', 'teknis', 'ada', 'tim', 'hotel', 'yang', 'sigap', 'bantu']"
"Hotel bagus, perlengkapan mandi sangat bagus,makanan nya cukup enak, lokasi di tengah kota. Tetapi pelayanan untuk check in sangat buruk, saya bersama rombongan sekitar 10 orang tidak bisa masuk kamar ketika sudah sampai hotel . Hotel yg …","['hotel', 'bagus', 'lengkap', 'mandi', 'sangat', 'bagus', 'makan', 'cukup', 'enak', 'lokasi', 'tengah', 'kota', 'layan', 'check', 'in', 'sangat', 'buruk', 'sama', 'rombong', 'orang', 'bisa', 'masuk', 'kamar', 'sudah', 'hotel', 'hotel', 'yang']"
Good service pelayananya & makanannya enak2 semua memuaskan,"['good', 'service', 'pelayananya', 'makan', 'enak', 'semua', 'muas']"
"Pelayanannya bagus, untuk breakfast mungkin bisa lebih bervariasi, uniknya gosok giginya sangat behel friendly suka bangettt","['layan', 'bagus', 'breakfast', 'mungkin', 'lebih', 'variasi', 'unik', 'gosok', 'gigi', 'sangat', 'behel', 'friendly', 'suka', 'bangettt']"
"Kamar luas, lokasi strategis di pusat kota, pelayanan cukup, untuk makanan berat kurang variatif, lebih banyak dessert. untuk menerima pesanan dari luar tidak bisa di resepsionis seperti hotel lain, minta tolong disimpan di resepsionis saja …","['kamar', 'luas', 'lokasi', 'strategis', 'pusat', 'kota', 'layan', 'cukup', 'makan', 'berat', 'kurang', 'variatif', 'lebih', 'banyak', 'dessert', 'terima', 'pesan', 'luar', 'bisa', 'resepsionis', 'hotel', 'minta', 'simpan', 'resepsionis']"
"Cukup Puas dan pelayanan'nya ramah.
Break fast a/n Lena","['cukup', 'puas', 'layan', 'ramah', 'break', 'fast', 'a', 'n', 'lena']"
"Pelayanan yang luar biasa bagus, makanan yang banyak variasi dan enak. Kamar juga nyaman","['layan', 'luar', 'biasa', 'bagus', 'makan', 'banyak', 'variasi', 'enak', 'kamar', 'nyaman']"
"Sajian makanan enak, layanan ramah, di layani oleh petugas bernama Aztuti","['saji', 'makan', 'enak', 'layan', 'ramah', 'layan', 'tugas', 'nama', 'aztuti']"
Pelayan restorannya ramah dan menu sarapannya mantab,"['layan', 'restoran', 'ramah', 'menu', 'sarap', 'mantab']"
"Overall, untuk kamar dan service yang ditawarkan oleh Grand Mercure sudah cukup baik. Tetapi terkait koordinasi mengenai additional features seperti extra bed mohon ditingkatkan lagi dari pihak hotel sehingga tamu yang berkunjung msk …","['overall', 'kamar', 'service', 'tawar', 'grand', 'mercure', 'cukup', 'baik', 'kait', 'koordinasi', 'kena', 'additional', 'features', 'extra', 'bed', 'mohon', 'tingkat', 'dari', 'pihak', 'hotel', 'tamu', 'kunjung', 'msk']"
"Untuk hotel bintang ⭐⭐⭐⭐⭐ 5,
Sebenarnya fasilitas dan desain hotelnya terbilang kurang menggambarkan bintang 5, NAMUN sesuai dengan harganya yang terbilang salah satu yang paling terjangkau …","['hotel', 'bintang', 'benar', 'fasilitas', 'desain', 'hotel', 'bilang', 'kurang', 'gambar', 'bintang', 'sesuai', 'harga', 'bilang', 'salah', 'satu', 'paling', 'jangkau']"
"Sangat nyaman, baik pelayanan, fasilitas smuanya bagus😊 …","['sangat', 'nyaman', 'baik', 'layan', 'fasilitas', 'smuanya', 'bagus']"
Untuk Kamar nya sudah ada 3 bantal dan 1 guling sangat nyaman sekali untuk kasurnya. Untuk makanan nya sesuai dengan rating restoran nya enak dan menggugah selera. Terima Kasih.,"['kamar', 'ada', 'bantal', 'guling', 'sangat', 'nyaman', 'sekali', 'kasur', 'makan', 'sesuai', 'rating', 'restoran', 'enak', 'gugah', 'selera', 'terima', 'kasih']"
