Label,Casefold
,ruang rapatnya besar kamarnya nyaman lokasinya strategis dekat tempat kuliner di seberang jalan demangan untuk makanan dan minumannya variasinya menunya boleh ditambah lagi terima kasih
netral,semoga safe deposit boxnya bisa lebih bagus ya
positif,sarapan paginya lengkap dan sangat enak layanan atas nama fifin baik dan ramah
positif,lokasi strategis dekat mall dan rumah sakit kamarnya oke ruang meeting nya banyak dan proper snack rapatnya variatif dan enak enak
,sarapan sambil bisa menikmati jalan kenangan semasa kuliah
negatif,untuk makanannya lumayan banyak tetapi untuk kamar tidak sesuai dengan permintaan tanpa konfirmasi terlebih dahulu dan untuk pelayanan pada saat cek in pelayanannya kurang
,overall experiencenya memuaskan breakfast variatif dan kamar spacey dan bersih khusus balkon kalau mau buka pintunya by request ke resepsionis ya
,hotel dengan lokasi strategis dekat bandara adisucipto dan mall makanan enak dan beragam fasilitas hotel cukup lengkap ada kolam renang di lantai atas dan gym interior ornamen khas yogya ruang meeting luas tp blower ac berisik
positif,menu masakannya enak pelayanan bagus sempat minta dilayani mbak fifin cepat dan tidak berteletele
positif,pelayanan yang memuaskan kebersihan dan kerapihan semua kamar dan ruangan selalu terjaga serta breakfast yang cukup menarik
,menginap d n sangat nyaman alhamdulillah lokasi sangat strategis dan pelayanan cukup ramah di sekeliling hotel banyak tempat makan enak seberang hotel ada bakmi batas kota yang ternyata enak makin malam makin rame pengunjungnya
,sarapan pagi nya sangat enak enak dan pelayanan atas nama fifin sangat cepat dan ramah
positif,fasilitas kamar hotel lengkap tidak ada kendala parkir memadai makanan lengkap banyak pilihan mulai dari dissert menu modern dan tradisional minuman juga lengkap best service
,hospitality ny bagus kamar bersih untuk breakfast paling enak curry beef ny mantab
,sarapan nya mantap and mak yus
,iftar disini seru abiss tempat nyaman makanan enak pelayanan restaurant sangat baik recomendeddddd
positif,hotel dan kamarnya bagus nyaman dan bersih sarapannya juga oke bgt dan juga lengkap mulai dari makanan indonesia western dan juga banyak sekali tersedia aneka pastry
,sarapannya enak namun telurnya sebaiknya dibuat dan disimpan di stock agar orang tidak menunggu pembuatan telur yg lama tksh
netral,hotel nya bagus lokasi strategis petugas nya ramah tapi klau malem dr resto suka ada bunyi kursi di pindahkan cuman front lobby nya bisa di ajak komunikasi untuk mengatasi masalah tersebut semoga makanan nya bisa lebih enak lagi
positif,sarapannya enak dan variatif pelayanan dari mbak lena sangat baik
positif,lokasi strategis ruangan nyaman makan enak dan higienis dekat stasiun jadi untuk saya yang orang solo sangat nyaman menikmati menginap di grand mercure yogyakarta
positif,pertama kali kesini nemenin anak yg lagi diajak sama budhenya staycation semalam baru masuk pelayanannya ramah semua
netral,hotelnya sangat bagus walaupun kamarnya agama kecil tetapi makanannya breakfastnya enak
netral,pelayanan ramah semedulur lokasi mudah dicari masakan enak dan beragam sayang kamar yang saya pesan tidak punya view
,tempat nya bagus dan enak dan kamar hotelnya sangat dingin pelayanan nya juga mantap
,saya menginap di hotel grand mercure sangat nyaman menu memuaskan pelayanan prima
,pengalaman menginap disana seru lokasinya strategis dkt sama mall serta fasilitas umum lainnya
,nasi goreng hijau mantap terimakasih atas pelayanan yg ramah dari mba aztuti sukses sll
netral,hotel nyaman kolam renang luas makanan di restoran bervariasi rasanya enak hanya saja air shower keluarnya kecil tp so far smua nyaman tx u mercure jogja sukses selalu
negatif,salah satu hotel bintang lima di pusat kota jogyakarta memilih hotel ini untuk acara family gathering di tahun saat lebaran ini saat kedatangan dibuat kecewa dengan pelayanannya karena kamar belum ready semuanya alasannya di saat
netral,overall menu yg disajikan cukup baik banyak beraneka ragam menu nusantara dan luar lebih diperhatikan tentang air wedang ronde nya yg kurang panas dan penyajian mie nya yg sudah dimasak terlebih dahulu jadi ketika disajikan sudah dingin
,allhamdulilah nyaman dlm rangka kedinasan
,breakfast ok pelayanan staff ramah
,sarapannya rasanyaa jossss pelayanan sat set sama mb lena
,untuk makanannya oke cukup beragam cuma bisa dikurangi manis nya atau asinnya untuk kamarnya cukup kaget karena beda dari beberapa tahun terakhir saya kesini
,lokasi strategis varian masakan ok ambience resto keren view bagus wajib kesini lagi
,sarapan paginya sangat enak menunya lengkap dan memuaskan layanan atas nama fifin baik dan ramah serta cepat
,pelayanan dan makanan enak terima kasih mba silvia
,menanggapi kehilangan yang sebelumnya pihak management sudah melakukan tindak lanjut dan tindakan tegas pada siapapun yang terbukti terima kasih semoga tidak terjadi lagi dan keamanan semakin ditingkatkan makasih
,pelayanan serta fasilitas yang ada sangat memuaskan
,makanan yang disajikan selalu baru dan banyak macamnya pelayanan cepat dan tempatnya bersih
netral,terima kasih dengan pelayanan grand mercure menginap dan mengadakan event training di sini dapat banyak support dan menunya enak walaupun ada beberapa kendala teknis namun ada tim hotel yg sigap membantu
negatif,hotel bagus perlengkapan mandi sangat bagus makanan nya cukup enak lokasi di tengah kota tetapi pelayanan untuk check in sangat buruk saya bersama rombongan sekitar orang tidak bisa masuk kamar ketika sudah sampai hotel hotel yg
,good service pelayananya makanannya enak semua memuaskan
,pelayanannya bagus untuk breakfast mungkin bisa lebih bervariasi uniknya gosok giginya sangat behel friendly suka bangettt
netral,kamar luas lokasi strategis di pusat kota pelayanan cukup untuk makanan berat kurang variatif lebih banyak dessert untuk menerima pesanan dari luar tidak bisa di resepsionis seperti hotel lain minta tolong disimpan di resepsionis saja
,cukup puas dan pelayanan nya ramah break fast a n lena
,pelayanan yang luar biasa bagus makanan yang banyak variasi dan enak kamar juga nyaman
,sajian makanan enak layanan ramah di layani oleh petugas bernama aztuti
,pelayan restorannya ramah dan menu sarapannya mantab
netral,overall untuk kamar dan service yang ditawarkan oleh grand mercure sudah cukup baik tetapi terkait koordinasi mengenai additional features seperti extra bed mohon ditingkatkan lagi dari pihak hotel sehingga tamu yang berkunjung msk
netral,untuk hotel bintang sebenarnya fasilitas dan desain hotelnya terbilang kurang menggambarkan bintang namun sesuai dengan harganya yang terbilang salah satu yang paling terjangkau
,sangat nyaman baik pelayanan fasilitas smuanya bagus
,untuk kamar nya sudah ada bantal dan guling sangat nyaman sekali untuk kasurnya untuk makanan nya sesuai dengan rating restoran nya enak dan menggugah selera terima kasih
,kesini untuk acara bpip fasilitas hotel lengkap dan kondisinya masih sangat bagus untuk makanannya enak pelayanan prima sigap dan cekatan kalau habis selesai makan langsung di ambil dan juga ramah
,untuk pelayanan cukup memuaskan kamar nyaman dan bersih menu di restoran juga enak
,actually that s a huge luxurious place awalnya booking untuk menginap di ibis style tapi karena ada high maintenance di upgrade kamar di grand mercure thanks a lot that s amazing
,pelayananannya sangat baik dan terbantu oleh mbak lena
,sarapan pagi beragam dan enak layanan atas nama fifin sangat ramah dan baik
,saya suka dengan sarapan paginya enak dan layanan atas nama fifin baik ramah anaknya cantik
positif,hotelnya nyaman bersih dan pelayanannya ramah lokasi strategis dekat dengan pusat kota dan mudah ke mana mana sarapannya enak dan variatif sangat puas menginap di hotel grand mercure ini
positif,tempat nyaman untuk menginap saat perjalanan bisnis dinas makan pagi nya banyak dan enak pelayanannya sangat bagus rekomended
,dari pelayanannua bagus stafnya ramah sarapannya juga enak kebersihan kamar juga bagus
positif,kamarnya luas bersih dan nyaman meski interior bkn modern ya untuk breakfast menu tradisional nya enak dan banyak pilihan lokasi cukup strategis utk berkegiatan di dkt kota jogja
positif,hotelnya nyaman dan sarapannya jg banyak pilihan pelayanan mba celsi sangat ramah
,kami menginap tepat saat long weekend selama hari malam pengalaman saat cek in hari ini yg informasinya bisa di dapat dijam hotel umumnya info cek in di jam kami dapatkan kunci hampir jam malam sungguh pengalaman luar
positif,posisi hotel strategis makanan enak dan bersih pelayanan ramah dan baik
positif,untuk hotelnya menurut aku rekomen untuk acara pertemuan makanannya enak tidak menemukan botol plastik untuk minuman semua pake gelas kaca kamar hotel san juga ada dan bed
negatif,menu sarapan ok ada beberapa fasilitas yang perlu diperbaiki antara lain penyediaan sabun dan air di toilet dekat ruang sewu agar diperbaiki macet ruang kamar bau bekas rokok sangat mengganggu agar bisa dibersihkan dr sisa asap rokok yang mengendap
netral,kemarin saya komplain soal rasa makanan desert dihotel ini karna pudingnya ga manis vlanya tawar ga ada rasa trus sy komplain sama waiternya bernama devita supaya vlanya manis alhamdulillah hr ini sy breakfast sy cobain lagi pudingnya udh
positif,kamar bersih dan rapi pelayanan oke resto juga oke
,pengalaman kedua menginap disini karena memang ada acara dari kantor pengalaman pertama dulu mgkin sekitar atau tahun lalu entah kenapa saya gak terlalu noticed sama kondisi sekitar hotel
,mudah dijangkau dan byk fasilitas umum layanan bgs
,makanan enak kamar bagus bersih layanan memuaskan
,di sini kamarnya nyaman jadi bisa tidur nyenyak sarapan pagi sungguh luar biasa menunya komplit plit semua ada thank you grand mercure
,nyaman strategis letaknya
,hotel yang good best apalgii pelayanannya dan staff nya selalu ramah dalam menangani the besty
,makanannya enak tempat bersih pelayanannya juga baguusss
positif,hotel yang nyaman di yogya makanannya enak variatif kopinya banyak pilihan kamar nya bersih staff nya ramah di area restaurant security nya sangat membantu di basement dan ramah terima kasih chef bambang yang sangat ramah dan baik terima kasih grand mercure yogya
,sarapan paling bagus banyak pilihan devita pelayanan bagus
,untuk sarapan pagi sangat puas trimakasih
,suite room upgrade kamar dapat free compliment pula lokasi lumayan dekat dgn st tugu mau makan sederhana juga tinggal nyebrang oke deh
,breakfast nya cukup lengkap dengan rasa yang pas dan nikmat beraneka makanan lokal minuman tersedia pelayanan dibantu oleh mba lena
,di jalan utama adi sutjipto sebelah kiri sebelum masuk kota yogya hotel bintang pastinya dengan std layanan accor group
positif,pelayanannya sangat memuaskan bawa baby tanpa ribet dibantu dengan sigap oleh para weters yg baik makanannya banyak pilihan dan enak liburan jadi tambah menyenangkan terimakasih grandmercure untuk kesan terbaiknya selama di jogya
negatif,mohon di diberitahu kembali untuk resepsionisnya agar tidak lelet dan lebih gesit pelayanannya customer bisa melayani menitan sibuk klik klik komputer entah yang diklik apa sementara itu ada customer yang pembayaran qris gagal ternyata diulang terus sampai lama untuk layanan kamar bersih dan luas
positif,sarapan enak pelayanan silvia ramah dan menyenangkan
positif,makanan paginya lengkap dan berkelas untuk restaurant nya bersih dan untuk pelayanan semua staff ramah dan murah senyum
,hotelnya nyaman makananya oke pelayananya baik sangat membantu tamu
positif,bagus sarapan memuaskan semua tersedia
positif,pelayanan di hotel grand mercure sangat memuaskan variasi menu makan cukup lengkap dan banyak rasa makanan tidak ada yg mengecewakan
,menginap di hotel ini nyaman n pelayanan nya bagus
,sarapan nya enak agak berbeda atau unik dengan hotel yang saya pernah kunjungin dj jogja di bantu oleh training lena
,untuk pelayanan atas nama mba thania cukup memuaskan ramah dan murah senyum terimakasih
,pelayanan mba fifin mantul
positif,pengalaman yang menyenangkan bisa menginap di sini untuk pelayanan kak meirizka cukup informatif
,kamar luas ac sangat dingin kamar mandi luas ada bathup anak jadi senang berenang dibathup sarapan enak dan bervariasi
,pelayanan staff nya ramah kamar nya juga bersih dan wangi
,kamarnya baguss dan keren pelayanannya juga memuaskan apalgi dekat dengan malioboro mall kren deh hotelnya menginap di sini ga bakal bikin rugi
,begitu masuk loby hotel disambut patung loro blonyo interior khas jogja sampai interior kamar kental juga nuansa budaya jawa suka sama lampu bentuk stupa borobudur
positif,breakfast nya enak dan mantap yang paling favorit itu soto tangkar nya kamar nya juga bersih dan rapi orang nya juga ramah recommend
netral,little bit sad karena dapat kamar yg tidak mengarah ke balkon tapi over all suka pilihan breakfast nya banyak bgt
positif,event dan menginap di grand mercure pengalaman pertama buat saya ruang meeting nya bersih hotelnya unik banyak motif candinya kamarnya nyaman buat istirahat seharian meeting di ruangan nyaman dan recomended banget ini hotel thanks
negatif,masukannya dikamar ditambahkan lampu yg lebih terang untuk dikamar mau makeup dll susah
netral,beberapa kali nginep disini secara umum memuaskan room bersih makanan lumayan enak pelayanan memuaskan cuman minum di room sedikit semoga ada solusi penambahan air minum nya
,breakfastnya enak pol kamarnya bersih dan wangi menurut aku aroma wangi lobby grand mercure emang beda sama hotel hotel lain dan itu enak banget body lotionnya mahal banget wanginya good
,ruangannya bersih call ke resepsionisnya sangat tanggap walau malam breakfastnya lengkap enak dari saladnya segar dan semuanya masih hangat pelayanannya tanggap terutama mba silvia sangat oke recommended
,lokasi hotel strategis beberapa kali diundang acara di hotel ini sempat beberapa kali juga memilih hotel mercure untuk acara hasilnya selalu memuaskan pelayanan baik didukung dengan staf yang ramah terima kasih grand mercure yogyakarta
negatif,untuk breakfast nasi gudegnya kurang dan ayam tepung tulangnya masih merah untuk yg lainnya lumayan
,hotel nyaman posisi ada di tengah kota petugas ramah dan cepat dalam memberikan layanan dari segi makanan menurut saya enakdan banyak aneka ragam jajanannya dan jajanan yg saya anggap ndak ada lagi tetnyata ada silahkan dicoba terima kasih
,alhamdulillah nyaman menginap disini kamar bersih pelayanan ramah trimakasih atas pelayanan yg diberikan insyaallah next ksini lg
,hotelnya bagus kamarnya bagus dan breakfastnya enak dan cukup lengkap lokasinya juga strategis overall bagus namun sy punya pengalaman kurang puas untuk layanan kamarnya saya dan teman sy ketinggalan beberapa barang di kamar mandi
,pelayanan baik kamar bersih dan bagus akses kemana saja sangat mudah sistem keamanan baik cuma ada bbrp security yg mandang rendah krn kami naik motor saat disapa malah diam saja dan mandang curiga hahaha gini amat yak harus bawa mobil kl pengen dihormati
,hotel ini bagus dari berbagai sisi mulai dari layanan kamar makanan lokasi mudah dijangkau
,pelayanan disini sangat bagus dan breakfast nya pun enak dan orang nya juga pada ramah
,pelayanan hotel sangat bagus makanan enak dan variasinya banyak kamar bagus dan lega fasilitas lengkap overall memuaskan
,pelayanan nya ramah sesuai dengan kota nya ademmmm saya senang dan berharap bisa ke sini lagi fasilitas hotel sangat lengkap terima kasih
,pelayanannya ramah fasilitasnya juga oke menu sarapannya lengkap enak dan fresh juga top deh pokoknya
,pelayanan fasilitas dan menu makanan sangat memuaskan rekomended untuk jadi tempat menginap baik tugas kantor atau bersama keluarga
,staff ramah kamar luas nyaman makanan di restonya enak
,hotel bagus lokasi sedikit jauh dari malioboro dan keraton yang jadi ikon kota yogyakarta namun transportasi ke malioboro dan sekitarnya tidak menjadi masalah karena banyak pilihan dan tidak mahal kamar nyaman air panas utk mandi
,sarapan pagi sangat enak layanan fifin sangat baik dan ramah
,pelatanan di sini sangat luarbiasa staf nya ramah ramah makanannya enak kamarnya bersih
,kamar bersih sudah disiapkan dan ac dingin layanan cepat saat cek in front liner juga fast respon dan ramah sekali lokasi strategis dari arah manapun mudah dituju overall hotel tersebut sangat recomended baik untuk keperluan pekerjaan maupun liburan keluarga mantappp
positif,hotel nya bersih nyaman dan pelayanan nya baik
,pelayanan bagus staff ramah semua tempat nya bersih higienis dan nyaman sekalii
,menginap di grand mercure sangat nyaman dan mantap pengen nginep terus
,menu sarapan enak dan kamar ok dan di bantu juga pelayanan oleh mba lena
,pengalaman saya nginap di sini pelayanan sangat ok dan kamar pun jg bersih
negatif,saya hanya seorang driver apa salah standby dan jajan dikantin yg memang dikususkan untuk karyawan katanya kita jajan juga byr dr pada hrus keluar jauh dan ada beberapa oknum yg tdk ramah
,untuk menu sarapan pagi sangat baik dan cukup memuaskan
,hotelnya enak pelayanan ramah sarapan paginya enak
,lima hari di grand mercure ikut bimtek luar biasa pelayanan dari pihak hotel mulai makanan kamar hotel dan sebagainya sukses selalu buat grand mercure
,sarapannya lengkap dan rasanya enak ruangannya luas dibantu dengan mba lena
,kamar bersih dan peralatan komplit breakfast menu pilihan banyak dan enak enak juga bisa next kesini lagi pas ke jogja
negatif,kamar cukup baik dan fasilitas lengkap namun untuk di kamar saya shower airnya kurang kencang ac terlalu dingin walaupun disetel suhu paling atas namun bisa dimatikan channel tv masih analog dan belum digital atau menggunakan stb smart tv untuk sarapan cukup variatif namun lauknya bisa lebih dilengkapi dengan menu daging
,ini pengalaman pertama menginap di sini so far makanannya yummy pelayanannya jempol memuaskan siip
,makanan enak room service nya bagus senang menginap disini
,hotelnya sangat bagus dengan kamarnya yang luas dan nyaman restorannya punya banyak variasi makanan dan lokasinya cukup strategis
,terimakasih hotel grand mercure makanan enak lengkap hotel nya bersih badan bagus tetap konsisten dan semangat yaa utk melayanai tamu sangat recommended
,rasa makanan saat sarapannya enak dan banyak variasinya dibantu mbak lena
,saya sangat suka pelayanan sangat ramah saat sarapan pagi pun kami d layani dgn baik semoga hotel grand mercure rs seperti ini saat kami pesan kamar dn cek out mereka melayani dgn ramah
,mantap pokoknya kita bikin event di hotel ini
,pelayanan nya sangattt ramah sekali makanannya enak tempatnya nyaman terimakasih mba chelsea udh memberikan pelayanan terbaik
,stars untuk pelayanan room dan resto kamar oke rapi bersih semua berfungsi dengan baik food was great too semuanya enak but no stars untuk tim front office
,sangat luar biasa cita rasa sesyai dan full variasi makanan
,hotel nyamannn lokasinya strategisss bangettt
,hotelnya cukup besar kalau dilihat mepet dengan hotel ibis lobby cukup luas dengan view yang cukup bagus petugas kebetulan standart tidak menyapa tamu yang datang terutama petugas di
,sarapan nya banyak madam dan rasanya enak
,kamarnya bersih nyaman makanannya enak banyak jenisnya
,menunya enak variasinya banyak pelayanan bagus sekali nyaman juga tempatnya
negatif,tolong benarkan air untuk mandinya karena saat saya ingin berendam di bathtub dilihat airnya sangat keruh dan ada kotoran di dalamnya bagian balkonnya juga tolong bersihkan karena saking jarangnya dibersihkan sampai terdapat tumbuhan yang menjalar di bagian sudut lantai balkonnya
,kamarnya mewah nyaman dan bersih pelayanan yang diberikan oleh staf juga ramah semuanya cocok untuk bersantai dh keluarga ada kolam renangnya juga
,saya sangat puas dengan fasilitas hotel dan sarapan paginya sangat enak dan layanan atas nama fifin sangat ramah dan baik
,overall rekomended untuk kamarnya saya suka karena bagus dan estetik tapi ada kerusakan sedikit di pintu showernya
,its a good place for bussiness trip or vacation one poin so missed and make me badmood for a breakfast dipagi yg cerah diawali
,pelayanannya sangat memuaskan untuk breakfastnya berbagai macam varian keselurahan rasanya enak mantap
negatif,lokasi strategis tapi kalau pagi hari kerja macet menu sarapan kurang variatif
,kamar bersih petugas semua ramah makanan semuanya enak kalau ke jogja mau nginap di sini lagi makanan yang diantar ke kamar untuk anak saya yang lagi kurang sehat ditata dengan sangat cantik dan menggugah selera terima kasih
,service dan makanan memuaskan untuk kamar saran dan masukan handuk mandi kurang rekomended agak kusan sekelas grand mercure terima kasih
,lokasi dekat tempat bekerja yang saya datangi makanan baik dan enak pelayanan sejak datang resto dll baik
,makanan nya enak dan banyak varian nyaa boleh di coba palagi di bantu oleh mba lena
,suasana kamar hotel nya bagus bersih dan nyaman dan breakfastnya banyak variant dan enak enak
,mantab menu makanan bervariatif dan enak jangan lupa untuk berkunjung jika dijogja
,pelayanan yang sangat bagus tempat ternyaman makanannya pun enak enak recomended gess
,pelayanan ramah makanan jg enak tempat nyaman
,sarapannya mantabbbbb dibantu lena
netral,pelayanannya sangat profesional untuk makanan rasanya standar hotel bintang sedikit saran dari saya untuk kamar disediakan lampu yg lebih terang terutama diarea meja belajar supaya bisa sekalian work from hotel
positif,pelayanannya baik dan hotelnyanya nyaman
,hotelnya nyaman dan pelayanannya helpfull
,lokasi strategis kamar bersih makanan minuman lumayan waitress ramah ketemu mahasiswa perhotelan yg sedang praktek mjd waitress ramah dan selalu senyum terima kasih mbak nur semoga lancar sampai wisudanya
,resto nya luas menu lengkap dan yg suka adalah banyak makanan tradisional yg sudah susah ditemui good place buat kerja atau liburan keluarga
,breakfast sangat enak dan lengkap pelayanan mbak lena a
,makanannnya enak ruang meetingnya besar dan nyaman pelayanan ok
,saya menginap di ibis laksda adi sucipto untuk malam lobby hotel agak tersembunyi di samping apabila membawa driver atau sewa mobil tidak masalah proses check inn cepat kamar cukup nyaman dengan tersedia bantal dan guling namun
,sarapan pagi nya enak
negatif,bad service sudah reservasi lama sdh surve tempat hari h tanpa pemberitahuan diksh tempat yg enggak banget yg sesak gelap mana bawa anak kecil segera buru pulang tolong dibenahi
,nyaman bersih rekomended deh pokoknya
,pelayanan bagus kamar nyaman tempat strategis
,kamar oke layanan baik breakfast enak pilihan banyak lokasi strategis
,sarapannya enak banyak pilihan dan bervariasi
,tempat nyaman pelayanan terbaik
positif,hotelnya bagus pelayanan nya oke kebersihan nya juga terjaga
,pelayanan nya bagus ka fifin ramah dan cekatan sukses yahh untuk fifin n grand mercure
,servicenya memuaskan lokasi cukup strategis akses ke berbagai tempat cuku mudah
,hotel bintang yang memiliki desain stylish dan elegan dan letaknya strategis di jalan adi sucipto sleman ini memiliki gedung lantai dan menyediakan kamar mulai dari king hingga standar room selain itu di sini juga tersedia
,kesini karena ada pembekalan dari kemenkes kamarnya enak banget rapi bersih luas nyamannn makanan juga enak variatif kebetulan makan di hotel x sehari menunya enak semua semoga next time kalo ada kesempatan lagi bisa kesini
negatif,hotel parah masa air minum botol standar nambah bayar rb botol kaca katanya si manager standar cm botol hari masih mending hotel royal ambarukmo nambah air minum standar ga bayar mau nambah botol kaca pas di resepsionis check in
,lokasi sangat strategis makanan enak dan berbagai macam dekat fasilitas umum recommended
negatif,malam menginap disini overall sudah cukup baik namun yang perlu menjadi perhatian adalah kualitas wifi di dalam kamar karena kurang proporsional dan sulit connect kemudian jet shower ternyata ketika setelah dipakai flush tidak bisa
,terima kasih mba silvia breakfastnya enak pelayana baik
,pelayan an fifin alvianti sangat bgs sopan ramah dan komunikatif terimakasih
,hotelnya bagus fasilitasnya juga tempatnya luas pokoknya terbaik
,pelayanan yang sangat memuaskan dan hotelnya sangat bersih berbagai hidangan yang berbeda beda setiap harinya
negatif,review berdasarkan pengalaman berkunjung kami di bulan juli menurut kami hotel ini masih kurang memuaskan sebagai hotel bintang lima
,mendadak mencari tempat bermalam akhir nya menginap di sini masuk lobby bagus banyak lampu lampu cristal lobby bersih
,makanannya enak pelayanannya bagus dipertahankan selalu ya
,pelayanan oke makanan juga enak
,hotel terbaik yang pernah kusinggahi di yogya kamarnya besar dan bersih air panas mengalir sangat lancar ac dingin apalagi sarapannya yaampuuun enak enak banget dan variannya banyaaaaak bgt rasanya ngga mau pulang
negatif,kamarnya biasa staf di kolam renang dan di gym seperti kurang terlatih gym nya kurang ada lagunya jadi sepi banget di bar ada meja billiar namun sayang presentasi minuman dan rasanya kurang untuk kelas grand mercure tapi servis saat breakfast dan pilihan breakfastnya memuaskan
,pelayanan f b attendant dan house keeping sangat baik saya hanya request dibuatkan tulisan happy honeymoon ternyata diberikan dekor di ranjangnya terima kasih
,kamar bersih restaurant memiliki menu lokal dan western food pelayanan baik ramah
,makanan nya enak pelayanan mba andin trainee sangat ramah baik dan cantikk
,restoran di sini sangat menjaga kebersihan makanan dan restoran nya bagus
netral,menginap di kamar superior dan kamarnya cukup luas dan nyaman lokasi hotel sangat strategis staf sangat ramah sedikit kekurangan ada di fasilitas parkir jalan menuju dan keluar dari basement agak sempit
,alhamdulillah luar biasa makanan layanan paket complet deh pokoknya recomendeed banget nih hotel
,saya liburan sama keluarga anak usia th dan th masih bisa pakai kamar dengan tipe executive room king bed luas m ft ada sofa bed yg bisa dipakai kalaupun extra bed masih muat karena kamarnya luas ada bathtub juga meski
,great accomodation great food and great atmosphere pelayanan mba silvia sangat baik dan ramah
