Casefold,processed,label_encoded,model_Label,gpt_label
saya setiap merayakan tahun baru selalu nginap hotel di yogyakarta atau di semarang baru mengalami di hotel ini untuk gala dinner harus reservasi bayar pack orang biasanya free orang per kamar sisanya baru bayar untuk hotel,tiap raya tahun baru selalu nginap hotel yogyakarta semarang baru alami hotel gala dinner harus reservasi bayar pack orang biasa free orang per kamar sisa baru bayar hotel,0,negatif,negatif
proses booking responnya sangat lambat akhirnya krn kamar yg dipesan keburu habis diupgrade pelayanan lain memuaskan,proses booking responnya sangat lambat akhir kamar pes keburu habis diupgrade layan lain muas,1,netral,negatif
secara keseluruhan utk makanan enaak kecuali krecek terlalu oily encer hotel bagus t strategis,cara seluruh makan enaak kecuali krecek terlalu oily encer hotel bagus strategis,1,netral,positif
hotelnya nyaman sekali pelayanannya sangat memuaskan stafnya ramah kamar bersih dan rapi lokasinya cukup strategis dipinggir jalan mudah untuk mengakses kemanapun tingkat keamanan hotel pun sangat baik dan memuaskan karna tidak sembarang orang bisa masuk kamar,hotel nyaman sekali layan sangat muas staf ramah kamar bersih rapi lokasi cukup strategis pinggir jalan mudah akses mana tingkat aman hotel sangat baik muas karna sembarang orang bisa masuk kamar,2,positif,positif
toilet di ruang rapat lt nggk bisa dikunci mushola sempit aroma kurang sedap yaaa b aja si tp imo nggk worth it dengan rate segitu,toilet ruang rapat lantai bisa kunci mushola sempit aroma kurang sedap worth it rate segitu,0,negatif,negatif
untuk breakfast lengkap bgt makanannya enak pool pelayannann bernama lena ramah dan baik,sarap lengkap banget makan enak layan nama ramah baik,2,positif,positif
pelayanan ramah variasi sarapan oke lokasi strategis,layan ramah variasi sarap baik lokasi strategis,2,positif,positif
breakfast nya alhamdulillah enak,sarap alhamdulillah enak,2,positif,positif
sy membooking smpe hr dikamar pertama sy komplain krn kamar ad suara berdengung kencang jd kami tdk bs istrht tenang akhirnya diupgrade kmr yg lbh besar krn kami dtg di moment lebaran jd kamar sisa ini awal sy masuk kamar konsepnya agak,membooking smpe hari kamar pertama komplain kamar suara dengung kencang istrht tenang akhir diupgrade kamar lebih besar datang moment lebaran kamar sisa awal masuk kamar konsep agak,0,negatif,negatif
sarapan dan pelayanannya mantap kamar nya bersih mba nya juga ramah silvia,sarap layan mantap kamar bersih ramah,2,positif,positif
semoga safe deposit boxnya bisa lebih bagus ya,moga safe deposit boxnya bisa lebih bagus,1,netral,netral
sarapan paginya lengkap dan sangat enak layanan atas nama fifin baik dan ramah,sarap pagi lengkap sangat enak layan atas nama baik ramah,2,positif,positif
lokasi strategis dekat mall dan rumah sakit kamarnya oke ruang meeting nya banyak dan proper snack rapatnya variatif dan enak enak,lokasi strategis dekat mall rumah sakit kamar baik ruang meeting banyak proper snack rapat variatif enak enak,2,positif,positif
untuk makanannya lumayan banyak tetapi untuk kamar tidak sesuai dengan permintaan tanpa konfirmasi terlebih dahulu dan untuk pelayanan pada saat cek in pelayanannya kurang,makan lumayan banyak tetapi kamar sesuai minta tanpa konfirmasi lebih dahulu layan saat check in layan kurang,0,negatif,negatif
menu masakannya enak pelayanan bagus sempat minta dilayani mbak fifin cepat dan tidak berteletele,menu masakan enak layan bagus sempat minta layan cepat berteletele,2,positif,positif
pelayanan yang memuaskan kebersihan dan kerapihan semua kamar dan ruangan selalu terjaga serta breakfast yang cukup menarik,layan muas bersih kerapihan semua kamar ruang selalu jaga sarap cukup tarik,2,positif,positif
fasilitas kamar hotel lengkap tidak ada kendala parkir memadai makanan lengkap banyak pilihan mulai dari dissert menu modern dan tradisional minuman juga lengkap best service,fasilitas kamar hotel lengkap kendala parkir pada makan lengkap banyak pilih mulai dissert menu modern tradisional minum lengkap service,2,positif,positif
hotel dan kamarnya bagus nyaman dan bersih sarapannya juga oke bgt dan juga lengkap mulai dari makanan indonesia western dan juga banyak sekali tersedia aneka pastry,hotel kamar bagus nyaman bersih sarap baik banget lengkap mulai makan indonesia western banyak sekali sedia aneka pastry,2,positif,positif
hotel nya bagus lokasi strategis petugas nya ramah tapi klau malem dr resto suka ada bunyi kursi di pindahkan cuman front lobby nya bisa di ajak komunikasi untuk mengatasi masalah tersebut semoga makanan nya bisa lebih enak lagi,hotel bagus lokasi strategis tugas ramah klau malem resto suka bunyi kursi pindah cuman front lobby bisa ajak komunikasi atas masalah sebut moga makan bisa lebih enak lagi,1,netral,positif
sarapannya enak dan variatif pelayanan dari mbak lena sangat baik,sarap enak variatif layan sangat baik,2,positif,positif
lokasi strategis ruangan nyaman makan enak dan higienis dekat stasiun jadi untuk saya yang orang solo sangat nyaman menikmati menginap di grand mercure yogyakarta,lokasi strategis ruang nyaman makan enak higienis dekat stasiun orang solo sangat nyaman nikmat inap grand mercure yogyakarta,2,positif,positif
pertama kali kesini nemenin anak yg lagi diajak sama budhenya staycation semalam baru masuk pelayanannya ramah semua,pertama kali kesini nemenin lagi ajak sama budhenya staycation malam baru masuk layan ramah semua,2,positif,positif
hotelnya sangat bagus walaupun kamarnya agama kecil tetapi makanannya breakfastnya enak,hotel sangat bagus walaupun kamar agama tetapi makan breakfast enak,1,netral,positif
pelayanan ramah semedulur lokasi mudah dicari masakan enak dan beragam sayang kamar yang saya pesan tidak punya view,layan ramah semedulur lokasi mudah cari masakan enak agam sayang kamar pesan punya view,1,netral,positif
hotel nyaman kolam renang luas makanan di restoran bervariasi rasanya enak hanya saja air shower keluarnya kecil tp so far smua nyaman tx u mercure jogja sukses selalu,hotel nyaman kolam renang luas makan restoran variasi rasa enak hanya air shower keluar so far smua nyaman mercure jogja sukses selalu,1,netral,positif
salah satu hotel bintang lima di pusat kota jogyakarta memilih hotel ini untuk acara family gathering di tahun saat lebaran ini saat kedatangan dibuat kecewa dengan pelayanannya karena kamar belum ready semuanya alasannya di saat,salah satu hotel bintang lima pusat kota jogyakarta pilih hotel acara family gathering tahun saat lebaran saat datang buat kecewa layan kamar belum ready semua alas saat,0,negatif,negatif
overall menu yg disajikan cukup baik banyak beraneka ragam menu nusantara dan luar lebih diperhatikan tentang air wedang ronde nya yg kurang panas dan penyajian mie nya yg sudah dimasak terlebih dahulu jadi ketika disajikan sudah dingin,semua menu saji cukup baik banyak aneka ragam menu nusantara luar lebih perhati tentang air wedang ronde kurang panas saji mie masak lebih dahulu ketika saji dingin,1,netral,netral
terima kasih dengan pelayanan grand mercure menginap dan mengadakan event training di sini dapat banyak support dan menunya enak walaupun ada beberapa kendala teknis namun ada tim hotel yg sigap membantu,terima kasih layan grand mercure inap ada event training sini dapat banyak support menu enak walaupun beberapa kendala teknis namun tim hotel sigap bantu,1,netral,positif
hotel bagus perlengkapan mandi sangat bagus makanan nya cukup enak lokasi di tengah kota tetapi pelayanan untuk check in sangat buruk saya bersama rombongan sekitar orang tidak bisa masuk kamar ketika sudah sampai hotel hotel yg,hotel bagus lengkap mandi sangat bagus makan cukup enak lokasi tengah kota tetapi layan check in sangat buruk sama rombong sekitar orang bisa masuk kamar ketika sampai hotel hotel,0,negatif,negatif
kamar luas lokasi strategis di pusat kota pelayanan cukup untuk makanan berat kurang variatif lebih banyak dessert untuk menerima pesanan dari luar tidak bisa di resepsionis seperti hotel lain minta tolong disimpan di resepsionis saja,kamar luas lokasi strategis pusat kota layan cukup makan berat kurang variatif lebih banyak dessert terima pesan luar bisa resepsionis seperti hotel lain minta tolong simpan resepsionis,1,netral,netral
overall untuk kamar dan service yang ditawarkan oleh grand mercure sudah cukup baik tetapi terkait koordinasi mengenai additional features seperti extra bed mohon ditingkatkan lagi dari pihak hotel sehingga tamu yang berkunjung msk,semua kamar service tawar oleh grand mercure cukup baik tetapi kait koordinasi kena additional features seperti extra bed mohon tingkat lagi pihak hotel sehingga tamu kunjung masuk,1,netral,positif
untuk hotel bintang sebenarnya fasilitas dan desain hotelnya terbilang kurang menggambarkan bintang namun sesuai dengan harganya yang terbilang salah satu yang paling terjangkau,hotel bintang benar fasilitas desain hotel bilang kurang gambar bintang namun sesuai harga bilang salah satu paling jangkau,1,netral,netral
hotelnya nyaman bersih dan pelayanannya ramah lokasi strategis dekat dengan pusat kota dan mudah ke mana mana sarapannya enak dan variatif sangat puas menginap di hotel grand mercure ini,hotel nyaman bersih layan ramah lokasi strategis dekat pusat kota mudah mana mana sarap enak variatif sangat puas inap hotel grand mercure,2,positif,positif
tempat nyaman untuk menginap saat perjalanan bisnis dinas makan pagi nya banyak dan enak pelayanannya sangat bagus rekomended,tempat nyaman inap saat jalan bisnis dinas makan pagi banyak enak layan sangat bagus rekomended,2,positif,positif
kamarnya luas bersih dan nyaman meski interior bkn modern ya untuk breakfast menu tradisional nya enak dan banyak pilihan lokasi cukup strategis utk berkegiatan di dkt kota jogja,kamar luas bersih nyaman meski interior bkn modern sarap menu tradisional enak banyak pilih lokasi cukup strategis giat dekat kota jogja,2,positif,positif
hotelnya nyaman dan sarapannya jg banyak pilihan pelayanan mba celsi sangat ramah,hotel nyaman sarap banyak pilih layan celsi sangat ramah,2,positif,positif
posisi hotel strategis makanan enak dan bersih pelayanan ramah dan baik,posisi hotel strategis makan enak bersih layan ramah baik,2,positif,positif
untuk hotelnya menurut aku rekomen untuk acara pertemuan makanannya enak tidak menemukan botol plastik untuk minuman semua pake gelas kaca kamar hotel san juga ada dan bed,hotel turut rekomendasi acara temu makan enak temu botol plastik minum semua pake gelas kaca kamar hotel bed,2,positif,positif
menu sarapan ok ada beberapa fasilitas yang perlu diperbaiki antara lain penyediaan sabun dan air di toilet dekat ruang sewu agar diperbaiki macet ruang kamar bau bekas rokok sangat mengganggu agar bisa dibersihkan dr sisa asap rokok yang mengendap,menu sarap baik beberapa fasilitas perlu baik antara lain sedia sabun air toilet dekat ruang sewu baik macet ruang kamar bau bekas rokok sangat ganggu bisa bersih sisa asap rokok endap,0,negatif,negatif
kemarin saya komplain soal rasa makanan desert dihotel ini karna pudingnya ga manis vlanya tawar ga ada rasa trus sy komplain sama waiternya bernama devita supaya vlanya manis alhamdulillah hr ini sy breakfast sy cobain lagi pudingnya udh,kemarin komplain soal rasa makan desert hotel karna puding manis vla tawar rasa terus komplain sama waiternya nama supaya vla manis alhamdulillah hari sarap cobain lagi puding,1,netral,positif
kamar bersih dan rapi pelayanan oke resto juga oke,kamar bersih rapi layan baik resto baik,2,positif,positif
hotel yang nyaman di yogya makanannya enak variatif kopinya banyak pilihan kamar nya bersih staff nya ramah di area restaurant security nya sangat membantu di basement dan ramah terima kasih chef bambang yang sangat ramah dan baik terima kasih grand mercure yogya,hotel nyaman yogya makan enak variatif kopi banyak pilih kamar bersih staff ramah area restaurant security sangat bantu basement ramah terima kasih chef bambang sangat ramah baik terima kasih grand mercure yogya,2,positif,positif
pelayanannya sangat memuaskan bawa baby tanpa ribet dibantu dengan sigap oleh para weters yg baik makanannya banyak pilihan dan enak liburan jadi tambah menyenangkan terimakasih grandmercure untuk kesan terbaiknya selama di jogya,layan sangat muas bawa baby tanpa ribet bantu sigap oleh weters baik makan banyak pilih enak libur tambah senang terimakasih grandmercure kesan baik lama jogya,2,positif,positif
mohon di diberitahu kembali untuk resepsionisnya agar tidak lelet dan lebih gesit pelayanannya customer bisa melayani menitan sibuk klik klik komputer entah yang diklik apa sementara itu ada customer yang pembayaran qris gagal ternyata diulang terus sampai lama untuk layanan kamar bersih dan luas,mohon diberitahu kembali resepsionis lelet lebih gesit layan customer bisa layan menit sibuk klik klik komputer entah klik apa sementara customer bayar qris gagal nyata ulang terus sampai lama layan kamar bersih luas,0,negatif,negatif
sarapan enak pelayanan silvia ramah dan menyenangkan,sarap enak layan ramah senang,2,positif,positif
makanan paginya lengkap dan berkelas untuk restaurant nya bersih dan untuk pelayanan semua staff ramah dan murah senyum,makan pagi lengkap kelas restaurant bersih layan semua staff ramah murah senyum,2,positif,positif
bagus sarapan memuaskan semua tersedia,bagus sarap muas semua sedia,2,positif,positif
pelayanan di hotel grand mercure sangat memuaskan variasi menu makan cukup lengkap dan banyak rasa makanan tidak ada yg mengecewakan,layan hotel grand mercure sangat muas variasi menu makan cukup lengkap banyak rasa makan kecewa,2,positif,positif
pengalaman yang menyenangkan bisa menginap di sini untuk pelayanan kak meirizka cukup informatif,alam senang bisa inap sini layan cukup informatif,2,positif,positif
breakfast nya enak dan mantap yang paling favorit itu soto tangkar nya kamar nya juga bersih dan rapi orang nya juga ramah recommend,sarap enak mantap paling favorit soto tangkar kamar bersih rapi orang ramah recommend,2,positif,positif
little bit sad karena dapat kamar yg tidak mengarah ke balkon tapi over all suka pilihan breakfast nya banyak bgt,little bit sad dapat kamar arah balkon over all suka pilih sarap banyak banget,1,netral,positif
event dan menginap di grand mercure pengalaman pertama buat saya ruang meeting nya bersih hotelnya unik banyak motif candinya kamarnya nyaman buat istirahat seharian meeting di ruangan nyaman dan recomended banget ini hotel thanks,event inap grand mercure alam pertama ruang meeting bersih hotel unik banyak motif candi kamar nyaman istirahat hari meeting ruang nyaman recomended banget hotel thanks,2,positif,positif
masukannya dikamar ditambahkan lampu yg lebih terang untuk dikamar mau makeup dll susah,masuk kamar tambah lampu lebih terang kamar makeup susah,0,negatif,netral
beberapa kali nginep disini secara umum memuaskan room bersih makanan lumayan enak pelayanan memuaskan cuman minum di room sedikit semoga ada solusi penambahan air minum nya,beberapa kali nginep sini cara umum muas room bersih makan lumayan enak layan muas cuman minum room sedikit moga solusi tambah air minum,1,netral,positif
untuk breakfast nasi gudegnya kurang dan ayam tepung tulangnya masih merah untuk yg lainnya lumayan,sarap nasi gudeg kurang ayam tepung tulang masih merah lain lumayan,0,negatif,negatif
hotel nya bersih nyaman dan pelayanan nya baik,hotel bersih nyaman layan baik,2,positif,positif
saya hanya seorang driver apa salah standby dan jajan dikantin yg memang dikususkan untuk karyawan katanya kita jajan juga byr dr pada hrus keluar jauh dan ada beberapa oknum yg tdk ramah,hanya orang driver apa salah standby jajan kantin memang sus karyawan kata jajan byr hrus keluar jauh beberapa oknum ramah,0,negatif,negatif
kamar cukup baik dan fasilitas lengkap namun untuk di kamar saya shower airnya kurang kencang ac terlalu dingin walaupun disetel suhu paling atas namun bisa dimatikan channel tv masih analog dan belum digital atau menggunakan stb smart tv untuk sarapan cukup variatif namun lauknya bisa lebih dilengkapi dengan menu daging,kamar cukup baik fasilitas lengkap namun kamar shower air kurang kencang ac terlalu dingin walaupun setel suhu paling atas namun bisa mati channel televisi masih analog belum digital guna stb smart televisi sarap cukup variatif namun lauk bisa lebih lengkap menu daging,0,negatif,negatif
tolong benarkan air untuk mandinya karena saat saya ingin berendam di bathtub dilihat airnya sangat keruh dan ada kotoran di dalamnya bagian balkonnya juga tolong bersihkan karena saking jarangnya dibersihkan sampai terdapat tumbuhan yang menjalar di bagian sudut lantai balkonnya,tolong benar air mandi saat ingin rendam bathtub lihat air sangat keruh kotor dalam bagi balkon tolong sih saking jarang bersih sampai dapat tumbuh jalar bagi sudut lantai balkon,0,negatif,negatif
lokasi strategis tapi kalau pagi hari kerja macet menu sarapan kurang variatif,lokasi strategis kalau pagi hari kerja macet menu sarap kurang variatif,0,negatif,netral
pelayanannya sangat profesional untuk makanan rasanya standar hotel bintang sedikit saran dari saya untuk kamar disediakan lampu yg lebih terang terutama diarea meja belajar supaya bisa sekalian work from hotel,layan sangat profesional makan rasa standar hotel bintang sedikit saran kamar sedia lampu lebih terang utama area meja ajar supaya bisa sekali work from hotel,1,netral,positif
pelayanannya baik dan hotelnyanya nyaman,layan baik hotelnyanya nyaman,2,positif,positif
bad service sudah reservasi lama sdh surve tempat hari h tanpa pemberitahuan diksh tempat yg enggak banget yg sesak gelap mana bawa anak kecil segera buru pulang tolong dibenahi,bad service reservasi lama surve tempat hari tanpa pemberitahuan tempat enggak banget sesak gelap mana bawa segera buru pulang tolong benah,0,negatif,negatif
hotelnya bagus pelayanan nya oke kebersihan nya juga terjaga,hotel bagus layan baik bersih jaga,2,positif,positif
hotel parah masa air minum botol standar nambah bayar rb botol kaca katanya si manager standar cm botol hari masih mending hotel royal ambarukmo nambah air minum standar ga bayar mau nambah botol kaca pas di resepsionis check in,hotel parah masa air minum botol standar nambah bayar rb botol kaca kata manager standar cm botol hari masih mending hotel royal ambarukmo nambah air minum standar bayar nambah botol kaca pas resepsionis check in,0,negatif,negatif
malam menginap disini overall sudah cukup baik namun yang perlu menjadi perhatian adalah kualitas wifi di dalam kamar karena kurang proporsional dan sulit connect kemudian jet shower ternyata ketika setelah dipakai flush tidak bisa,malam inap sini semua cukup baik namun perlu jadi perhati adalah kualitas wifi kamar kurang proporsional sulit connect kemudian jet shower nyata ketika telah pakai flush bisa,0,negatif,negatif
review berdasarkan pengalaman berkunjung kami di bulan juli menurut kami hotel ini masih kurang memuaskan sebagai hotel bintang lima,review dasar alam kunjung bulan juli turut hotel masih kurang muas hotel bintang lima,0,negatif,negatif
kamarnya biasa staf di kolam renang dan di gym seperti kurang terlatih gym nya kurang ada lagunya jadi sepi banget di bar ada meja billiar namun sayang presentasi minuman dan rasanya kurang untuk kelas grand mercure tapi servis saat breakfast dan pilihan breakfastnya memuaskan,kamar biasa staf kolam renang gym seperti kurang latih gym kurang lagu sepi banget bar meja billiar namun sayang presentasi minum rasa kurang kelas grand mercure servis saat sarap pilih breakfast muas,0,negatif,negatif
menginap di kamar superior dan kamarnya cukup luas dan nyaman lokasi hotel sangat strategis staf sangat ramah sedikit kekurangan ada di fasilitas parkir jalan menuju dan keluar dari basement agak sempit,inap kamar superior kamar cukup luas nyaman lokasi hotel sangat strategis staf sangat ramah sedikit kurang fasilitas parkir jalan tuju keluar basement agak sempit,1,netral,positif
lokasi agak jauh dari pusat kota agak tersiksa kalau mau jalan dari hotel pas jam sibuk kamar just okay cukup luas dan nyaman kamar mandi agak sempit handuk ada yang,lokasi agak jauh pusat kota agak siksa kalau jalan hotel pas jam sibuk kamar just okay cukup luas nyaman kamar mandi agak sempit handuk,0,negatif,netral
kelihatan manajemen hotel belum siap terima rombongan banyak banyak peserta sampai jam sore belum bisa cek in kuantitas makanan cukup banyak tapi rasanya kurang terasa enak untuk kelas hotel berbintang,lihat manajemen hotel belum siap terima rombong banyak banyak serta sampai jam sore belum bisa check in kuantitas makan cukup banyak rasa kurang asa enak kelas hotel bintang,0,negatif,negatif
bukber di sana lumayan worth it cuma ada beberapa menu yang kurang enak menurut ku kaya ayam goreng bakso jajanan pasar menurut ku kurang rasanya yang paling enak kebab nya sama ayam rica rica enak banget,buka sama sana lumayan worth it cuma beberapa menu kurang enak turut kaya ayam goreng bakso jajan pasar turut kurang rasa paling enak kebab sama ayam rica rica enak banget,1,netral,positif
bersih dan nyaman pelayanan juga ramah dan baik meski ada waiters yang kurang baik respon dan pelayanannya saya minta air panas sewaktu breakfast tapi cuman di iyain aja sampe makanan saya habis akhirnya minta sama waiters yang lain baru di anterin dan akhirnya di sediakan air panas di outlet minuman,bersih nyaman layan ramah baik meski waiters kurang baik respon layan minta air panas waktu sarap cuman iyain sampe makan habis akhir minta sama waiters lain baru anterin akhir sedia air panas outlet minum,0,negatif,positif
menyenangkan hanya aja ada berisik potong keramik debunya ke kolam kamarnya ac dan tatanannya bagus profesional,senang hanya berisik potong keramik debu kolam kamar ac tatanan bagus profesional,1,netral,positif
overall bagus seperti mercure lainnya cuma kalo di lantai paling atas alias top floor itu suara chiller nya lumayan terdengar di beberapa kamar seperti suara vacuum selebihnya oke pelayanan ramah lokasi strategis,semua bagus seperti mercure lain cuma kalau lantai paling atas alias top floor suara chiller lumayan dengar beberapa kamar seperti suara vacuum lebih baik layan ramah lokasi strategis,1,netral,positif
bagus tempat nya tp sangat disayangkan restoran nyadi lantai biasanya yg lain di lt atau lobby tp tidak mengecewakan makanannya,bagus tempat sangat sayang restoran nyadi lantai biasa lain lantai lobby kecewa makan,1,netral,positif
belum terbiasa men service tamu dengan jumlah banyak perlu ditingkatkan lagi soal ini,belum biasa men service tamu jumlah banyak perlu tingkat lagi soal,0,negatif,negatif
namanya grand mercure tp pelayanan dan roomnya ga kayak bintang beda bgt sama grand mercure di kota kota lain bahkan sama mercure hotel aja kalah jauh airnya cleo handuknya udh abu abu setrikaan harus minta barang di bathroom banyak yg berkerak tisue ruangan bau kecoa bantalnya dan spreinya bau minyak gosok,nama grand mercure layan roomnya kayak bintang beda banget sama grand mercure kota kota lain bahkan sama mercure hotel kalah jauh air cleo handuk abu abu setrika harus minta barang bathroom banyak kerak tisue ruang bau kecoa bantal spreinya bau minyak gosok,0,negatif,negatif
fasilitas bagus cuma pakai wifi di room meeting menggunakan laptop internet lemot padahal sinyal bagus,fasilitas bagus cuma pakai wifi room meeting guna laptop internet lot padahal sinyal bagus,0,negatif,positif
kamar nyaman staff ramah lokasi strategis,kamar nyaman staff ramah lokasi strategis,2,positif,positif
pelayanan baik menu sarapan kurang bervariasi lokasi strategis hanya jalan didepan hotel sering macet,layan baik menu sarap kurang variasi lokasi strategis hanya jalan depan hotel sering macet,1,netral,positif
hotel dgn fasilitas lengkap dan pelayanan ramah dari para staffnya rekomendasi topp bagi yang cari hotel di jogja,hotel fasilitas lengkap layan ramah staffnya rekomendasi bagus bagi cari hotel jogja,2,positif,positif
kamarnya nyaman akses ke jogja dekat semua,kamar nyaman akses jogja dekat semua,2,positif,positif
senang sekali disini karena layanan memuaskan ramah dan profesional makanannya enak,senang sekali sini layan muas ramah profesional makan enak,2,positif,positif
roomsnya kurang oke kalo dibilang bintang biasanya kalo bintang ada hair dryer tapi makannya enak bervariasiiii,roomsnya kurang baik kalau bilang bintang biasa kalau bintang hair dryer makan enak variasi,1,netral,netral
secara desain interior hotelnya memang bisa dibilang oldschool tidak se modern hotel yang baru dibangun era sekarang tapi pelayanannya memuaskan stafnya ramah dan kamarnya juga bersih secara lokasipun dia tidak di lokasi yang padat hotel sehingga bisa merasakan menjadi penduduk lokal,cara desain interior hotel memang bisa bilang oldschool modern hotel baru bangun era sekarang layan muas staf ramah kamar bersih cara lokasi dia lokasi padat hotel sehingga bisa rasa jadi duduk lokal,1,netral,positif
hotel nyaman ramah dan makanan enak,hotel nyaman ramah makan enak,2,positif,positif
pelayanan oke makanan enak kamar bersih pokoknya mantep,layan baik makan enak kamar bersih pokok mantep,2,positif,positif
kamar hotel bersih nyaman menu makanan bervariasi dan enak,kamar hotel bersih nyaman menu makan variasi enak,2,positif,positif
hotel nya mewah strategis dan makanan nya enak,hotel mewah strategis makan enak,2,positif,positif
sarapan menunya lengkap enak dari minuman makanan menu tambahan lain sangat rekomended pelayanya ramah santun dibantu traning lena,sarap menu lengkap enak minum makan menu tambah lain sangat rekomended pelayanya ramah santun bantu traning,2,positif,positif
tempatnya nyaman menu enak pelayanannya ramah mbak salma,tempat nyaman menu enak layan ramah salma,2,positif,positif
lokasinya yang mudah pelayanannya bagus kamarnya luas tempatnya nyaman makanan enak,lokasi mudah layan bagus kamar luas tempat nyaman makan enak,2,positif,positif
hotel yg cukup nyaman staffnya ramah liftnya kenceng wifinya bagus tanpa pasword minus kolamnya mini cuma meter,hotel cukup nyaman staffnya ramah lift kenceng wifinya bagus tanpa pasword minus kolam mini cuma meter,1,netral,positif
